Product Name,Price,Price per KG,Product Category,Date
Arroz parboil Gallo oro en bolsa 500 g.,"$ 1.700,00","$ 3.400,00",Arroz,06-03-2024
Arroz tipo largo fino 00000 Vanguardia 500 g.,"$ 990,00","$ 1.980,00",Arroz,06-03-2024
Fideos tallarin N5 Lucchetti 500 g.,"$ 1.100,00","$ 2.200,00",Pastas,06-03-2024
Fideos tirabuzones N28 Matarazzo 500 g.,"$ 1.300,00","$ 2.600,00",Pastas,06-03-2024
Fideos tallarines Don Vicente en bolsa 500 g.,"$ 1.950,00","$ 3.900,00",Pastas,06-03-2024
Asado El Mercado x kg.,"$ 4.999,00","$ 4.999,00",Asado,06-03-2024
Carnaza comun El Mercado,"$ 4.289,00","$ 4.289,00",Carnaza,06-03-2024
Carré de cerdo con hueso x kg.,"$ 2.799,00
- 24%","$ 279,90",Carre de Cerdo,06-03-2024
Paleta El Mercado x kg.,"$ 5.599,00","$ 5.599,00",Paleta Vaca,06-03-2024
Carne picada Bulnez,"$ 2.749,00","$ 2.749,00",Carne Picada,06-03-2024
Milanesa de nalga El Mercado x kg.,"$ 6.999,00","$ 6.999,00",Nalga,06-03-2024
Pechito de cerdo x kg.,"$ 2.799,00
- 26%","$ 279,90",Pechito de Cerdo,06-03-2024
Pollo entero congelado x kg.,"$ 1.899,00","$ 1.899,00",Pollo,06-03-2024
Filet de merluza natural Carrefour 500 g.,"$ 5.990,00","$ 11.980,00",Filet de Merluza,06-03-2024
Mortadela bologna El Bierzo x kg.,"$ 3.900,00","$ 3.900,00",Mortadela,06-03-2024
Mortadela Paladini mini 300 g.,"$ 2.010,00","$ 6.700,00",Mortadela,06-03-2024
Paleta cocida Paladini cristal x kg.,"$ 10.295,00","$ 10.295,00",Paleta Cocida,06-03-2024
Paleta cocida Paladini feteada fetas finas 200 g.,"$ 2.490,00","$ 12.450,00",Paleta Cocida,06-03-2024
Salchichón triple familiar Paladini x 300 g.,"$ 2.415,00","$ 8.050,00",Salchichon,06-03-2024
Salchichón primavera Lario x kg.,"$ 8.985,00","$ 8.985,00",Salchichon,06-03-2024
Salame fuet Cagnoli 150 g.,"$ 3.325,00","$ 22.166,67",Salame,06-03-2024
Salame fuet Bocatti picado fino 130 g.,"$ 3.020,00","$ 23.230,77",Salame,06-03-2024
Aceite de girasol Pureza 1500 cc.,"$ 2.400,00","$ 1.600,00",Aceite de Girasol,06-03-2024
Aceite de girasol Cañuelas 1.5 l.,"$ 2.200,00","$ 1.466,67",Aceite de Girasol,06-03-2024
Margarina en pan Danica clásica 200 g.,"$ 1.040,00","$ 5.200,00",Margarina,06-03-2024
Margarina en pan Delicia vitamina A y D 200 g.,"$ 1.100,00","$ 5.500,00",Margarina,06-03-2024
Leche ultra entera Carrefour classic sachet 1 lt.,"$ 819,00","$ 745,29",Leche Entera,06-03-2024
Leche multivitaminas 3% La Serenísima sachet 1 l.,"$ 1.090,00","$ 1.090,00",Leche Entera,06-03-2024
Leche en polvo La lechera entera 400 g.,"$ 3.015,00","$ 7.537,50",Leche en Polvo,06-03-2024
Leche en polvo La serenísima descremada 400 g.,"$ 3.610,00","$ 9.025,00",Leche en Polvo,06-03-2024
Queso fundido Finlandia balance pote 290 g.,"$ 2.620,00","$ 9.034,48",Queso untable,06-03-2024
Queso crema clásico Casancrem 480 g.,"$ 3.835,00","$ 7.989,58",Queso untable,06-03-2024
Queso cuartirolo Don atilio x kg.,"$ 4.035,00","$ 4.035,00",Queso Cuartirolo,06-03-2024
Queso cuartirolo Verónica trozado x kg.,"$ 4.280,00","$ 4.280,00",Queso Cuartirolo,06-03-2024
Queso rallado La Serenísima reggianito flow pack 175 g.,"$ 3.710,00","$ 21.200,00",Queso Rallado,06-03-2024
Queso en hebras light La paulina italiano fp 400 g.,"$ 5.099,00","$ 12.747,50",Queso Rallado,06-03-2024
Manteca La Serenísima extra para untar 200 g.,"$ 2.220,00","$ 11.100,00",Manteca,06-03-2024
Manteca La paulina 100 g.,"$ 785,00","$ 7.850,00",Manteca,06-03-2024
Yogur bebible entero Gran compra sabor frutilla 900 g.,"$ 1.385,00","$ 1.538,89",Yogur Bebible,06-03-2024
Yogur bebible frutilla La SerenÍsima clásico 900 g.,"$ 1.825,00","$ 2.027,78",Yogur Bebible,06-03-2024
Dulce de leche clásico La Serenísima 400 g.,"$ 1.515,00","$ 3.787,50",Dulce de Leche,06-03-2024
Dulce de leche San Ignacio tradicional 400 g.,"$ 1.760,00","$ 4.400,00",Dulce de Leche,06-03-2024
Huevos blancos Avicoper 6 u.,"$ 1.130,00","$ 188,33",Huevo,06-03-2024
Huevo blanco La Piara carton x 6 uni,"$ 1.420,00","$ 236,67",Huevo,06-03-2024
Manzana roja x kg.,"$ 1.899,00","$ 1.899,00",Manzana Roja,06-03-2024
Pera packhams Huella Natural x kg.,"$ 1.990,00","$ 1.990,00",Pera,06-03-2024
Batata x kg.,"$ 699,00
- 12%","$ 699,00",Batata,06-03-2024
Acelga congelada Granja de sol en bolsa 500 g.,"$ 1.980,00","$ 3.960,00",Acelga,06-03-2024
Cebolla x kg,"$ 990,00","$ 990,00",Cebolla,06-03-2024
Choclo en granos Carrefour classic sin sal en lata 300 g.,"$ 1.299,00","$ 4.026,90",Choclo en Granos,06-03-2024
Lechuga francesa hidropónica 220 g.,"$ 1.499,00","$ 1.499,00",Lechuga,06-03-2024
Tomate x kg.,"$ 1.149,00
- 10%","$ 1.149,00",Tomate,06-03-2024
Zapallo anco x kg.,"$ 389,00
- 22%","$ 389,00",Zapallo,06-03-2024
